$begin 'SolutionData'
	Type='PhaseCurrent1b'
	$begin 'Data'
		Datum(Dependent=0, Independent=-2.77925)
		Datum(Dependent=1, Independent=-2.93436)
		Datum(Dependent=2, Independent=-2.7626)
		Datum(Dependent=3, Independent=-2.74015)
		Datum(Dependent=4, Independent=-2.7498)
		Datum(Dependent=5, Independent=-2.77003)
		Datum(Dependent=6, Independent=-2.79432)
		Datum(Dependent=7, Independent=-2.82053)
		Datum(Dependent=8, Independent=-2.84769)
		Datum(Dependent=9, Independent=-2.87533)
		Datum(Dependent=10, Independent=-2.90319)
		Datum(Dependent=11, Independent=-2.93112)
		Datum(Dependent=12, Independent=-2.95901)
		Datum(Dependent=13, Independent=-2.98679)
		Datum(Dependent=14, Independent=-3.01442)
		Datum(Dependent=15, Independent=-3.04187)
		Datum(Dependent=16, Independent=-3.06913)
		Datum(Dependent=17, Independent=-3.09619)
		Datum(Dependent=18, Independent=-3.12306)
		Datum(Dependent=19, Independent=-3.14975)
		Datum(Dependent=20, Independent=-3.1763)
		Datum(Dependent=21, Independent=-3.20275)
		Datum(Dependent=22, Independent=-3.22915)
		Datum(Dependent=23, Independent=-3.25559)
		Datum(Dependent=24, Independent=-3.2822)
		Datum(Dependent=25, Independent=-3.30912)
		Datum(Dependent=26, Independent=-3.33661)
		Datum(Dependent=27, Independent=-3.36503)
		Datum(Dependent=28, Independent=-3.39494)
		Datum(Dependent=29, Independent=-3.42734)
		Datum(Dependent=30, Independent=-3.12229)
		Datum(Dependent=31, Independent=-2.83052)
		Datum(Dependent=32, Independent=-2.55066)
		Datum(Dependent=33, Independent=-2.29003)
		Datum(Dependent=34, Independent=-2.06312)
		Datum(Dependent=35, Independent=-2.03066)
		Datum(Dependent=36, Independent=-2.08661)
		Datum(Dependent=37, Independent=-2.13436)
		Datum(Dependent=38, Independent=-2.18104)
		Datum(Dependent=39, Independent=-2.22686)
		Datum(Dependent=40, Independent=-2.27188)
		Datum(Dependent=41, Independent=-2.31612)
		Datum(Dependent=42, Independent=-2.35958)
		Datum(Dependent=43, Independent=-2.40227)
		Datum(Dependent=44, Independent=-2.44418)
		Datum(Dependent=45, Independent=-2.48528)
		Datum(Dependent=46, Independent=-2.52554)
		Datum(Dependent=47, Independent=-2.56491)
		Datum(Dependent=48, Independent=-2.60335)
		Datum(Dependent=49, Independent=-2.64076)
		Datum(Dependent=50, Independent=-2.67703)
		Datum(Dependent=51, Independent=-2.712)
		Datum(Dependent=52, Independent=-2.74539)
		Datum(Dependent=53, Independent=-2.77673)
		Datum(Dependent=54, Independent=-2.80507)
		Datum(Dependent=55, Independent=-2.82829)
		Datum(Dependent=56, Independent=-2.84218)
		Datum(Dependent=57, Independent=-2.84189)
		Datum(Dependent=58, Independent=-2.82776)
		Datum(Dependent=59, Independent=-2.80547)
		Datum(Dependent=60, Independent=-2.78049)
		Datum(Dependent=61, Independent=-2.7573)
		Datum(Dependent=62, Independent=-2.74127)
		Datum(Dependent=63, Independent=-2.73793)
		Datum(Dependent=64, Independent=-2.74768)
		Datum(Dependent=65, Independent=-2.76792)
		Datum(Dependent=66, Independent=-2.79223)
		Datum(Dependent=67, Independent=-2.81845)
		Datum(Dependent=68, Independent=-2.84562)
		Datum(Dependent=69, Independent=-2.87328)
		Datum(Dependent=70, Independent=-2.90116)
		Datum(Dependent=71, Independent=-2.9291)
		Datum(Dependent=72, Independent=-2.957)
		Datum(Dependent=73, Independent=-2.9848)
		Datum(Dependent=74, Independent=-3.01244)
		Datum(Dependent=75, Independent=-3.03991)
		Datum(Dependent=76, Independent=-3.06718)
		Datum(Dependent=77, Independent=-3.09425)
		Datum(Dependent=78, Independent=-3.12113)
		Datum(Dependent=79, Independent=-3.14784)
		Datum(Dependent=80, Independent=-3.1744)
		Datum(Dependent=81, Independent=-3.20086)
		Datum(Dependent=82, Independent=-3.22728)
		Datum(Dependent=83, Independent=-3.25374)
		Datum(Dependent=84, Independent=-3.28035)
		Datum(Dependent=85, Independent=-3.30729)
		Datum(Dependent=86, Independent=-3.3348)
		Datum(Dependent=87, Independent=-3.36323)
		Datum(Dependent=88, Independent=-3.39315)
		Datum(Dependent=89, Independent=-3.42556)
		Datum(Dependent=90, Independent=-2.71992)
		Datum(Dependent=91, Independent=-2.03899)
		Datum(Dependent=92, Independent=-1.38558)
		Datum(Dependent=93, Independent=-0.772427)
		Datum(Dependent=94, Independent=-0.198)
		Datum(Dependent=95, Independent=1.04923e-10)
		Datum(Dependent=96, Independent=-6.46519e-11)
		Datum(Dependent=97, Independent=-6.66801e-11)
		Datum(Dependent=98, Independent=-6.788520000000001e-11)
		Datum(Dependent=99, Independent=-6.867449999999999e-11)
		Datum(Dependent=100, Independent=-6.92248e-11)
		Datum(Dependent=101, Independent=-6.962500000000001e-11)
		Datum(Dependent=102, Independent=-6.99266e-11)
		Datum(Dependent=103, Independent=-7.01634e-11)
		Datum(Dependent=104, Independent=-7.03591e-11)
		Datum(Dependent=105, Independent=-7.05323e-11)
		Datum(Dependent=106, Independent=-7.06987e-11)
		Datum(Dependent=107, Independent=-7.08737e-11)
		Datum(Dependent=108, Independent=-7.107409999999999e-11)
		Datum(Dependent=109, Independent=-7.13203e-11)
		Datum(Dependent=110, Independent=-7.16403e-11)
		Datum(Dependent=111, Independent=-7.2076e-11)
		Datum(Dependent=112, Independent=-7.2698e-11)
		Datum(Dependent=113, Independent=-7.36446e-11)
		Datum(Dependent=114, Independent=-7.5228e-11)
		Datum(Dependent=115, Independent=-7.8176e-11)
		Datum(Dependent=116, Independent=-8.37934e-11)
		Datum(Dependent=117, Independent=-9.254979999999999e-11)
		Datum(Dependent=118, Independent=-1.01497e-10)
		Datum(Dependent=119, Independent=-1.0774e-10)
		Datum(Dependent=120, Independent=1.12e-10)
		Datum(Dependent=121, Independent=1.0773e-10)
		Datum(Dependent=122, Independent=1.01448e-10)
		Datum(Dependent=123, Independent=9.24161e-11)
		Datum(Dependent=124, Independent=8.35406e-11)
		Datum(Dependent=125, Independent=7.78312e-11)
		Datum(Dependent=126, Independent=7.48094e-11)
		Datum(Dependent=127, Independent=7.316380000000001e-11)
		Datum(Dependent=128, Independent=7.216140000000001e-11)
		Datum(Dependent=129, Independent=7.148749999999999e-11)
		Datum(Dependent=130, Independent=7.1003e-11)
		Datum(Dependent=131, Independent=7.06365e-11)
		Datum(Dependent=132, Independent=7.03458e-11)
		Datum(Dependent=133, Independent=7.01028e-11)
		Datum(Dependent=134, Independent=6.98867e-11)
		Datum(Dependent=135, Independent=6.96806e-11)
		Datum(Dependent=136, Independent=6.94688e-11)
		Datum(Dependent=137, Independent=6.923520000000001e-11)
		Datum(Dependent=138, Independent=6.89609e-11)
		Datum(Dependent=139, Independent=6.86215e-11)
		Datum(Dependent=140, Independent=6.818240000000001e-11)
		Datum(Dependent=141, Independent=6.75907e-11)
		Datum(Dependent=142, Independent=6.67549e-11)
		Datum(Dependent=143, Independent=6.54935e-11)
		Datum(Dependent=144, Independent=6.33915e-11)
		Datum(Dependent=145, Independent=5.947499999999999e-11)
		Datum(Dependent=146, Independent=5.1997e-11)
		Datum(Dependent=147, Independent=4.03549e-11)
		Datum(Dependent=148, Independent=2.8588e-11)
		Datum(Dependent=149, Independent=2.06965e-11)
		Datum(Dependent=150, Independent=0.400614)
